Ora,Data,Nome,Cognome,DataDiNascita,Indirizzo,Città,NumeroCivico,NumeroDiTelefono,CAP,Email,Genere,Hobby,Professione
15:03:10,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:03:14,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:03:18,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:03:20,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:03:24,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:03:27,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:03:35,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:03:37,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:03:41,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:03:43,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:03:54,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:02,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:04,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:06,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:10,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:12,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:13,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:15,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:17,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:19,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:20,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:04:23,2018-11-9,Mario,Rossi,1950-01-25,"Via Ceresio",Berlino,4545,"+41 69 344 33 76",3232,mario.rossi@gmail.com,M,Pescare,Falegname
15:14:44,2018-11-9,Mario,Rossi,1111-11-11,"via bertolino",Lugano,45,"+41 323 32 23",21030,mattia@gmail.com,Altro,,
